MinuteToComplete,Year,Nachklausur,Course,Grade,AttemptNumber,Bachelor/Master,Study
65,2021,Yes,VA,5,1,Master,WirtschaftsInformatik
15,2021,Yes,VA,3.3,1,Bachelor,(Wirtschafts-)Mathematik
52,2021,Yes,VA,4,1,Bachelor,(Wirtschafts-)Mathematik
62,2021,Yes,VA,5,2,Bachelor,(Wirtschafts-)Mathematik
32,2021,Yes,VA,4,1,Master,(Wirtschafts-)Mathematik
54,2021,Yes,VA,5,1,Bachelor,WirtschaftsInformatik
88,2021,Yes,VA,2.7,1,Bachelor,(Wirtschafts-)Mathematik
84,2021,Yes,VA,3.7,1,Master,(Wirtschafts-)Mathematik
68,2021,Yes,VA,4,1,Master,WirtschaftsInformatik
59,2021,Yes,VA,3.3,1,Bachelor,(Wirtschafts-)Mathematik
67,2020,No,Vis,5,1,Bachelor,WirtschaftsInformatik
69,2020,No,Vis,1.7,1,Bachelor,(Wirtschafts-)Mathematik
63,2020,No,Vis,3.7,1,Bachelor,WirtschaftsInformatik
36,2020,No,Vis,3,2,Bachelor,WirtschaftsInformatik
71,2020,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
75,2020,No,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
57,2020,No,Vis,5,1,Bachelor,WirtschaftsInformatik
85,2020,No,Vis,1.3,1,Master,WirtschaftsInformatik
63,2020,No,Vis,5,2,Bachelor,(Wirtschafts-)Mathematik
82,2020,No,Vis,5,1,Bachelor,WirtschaftsInformatik
56,2020,No,Vis,5,1,Master,(Wirtschafts-)Mathematik
57,2020,No,Vis,5,1,Bachelor,WirtschaftsInformatik
75,2020,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
36,2020,No,Vis,3.7,2,Bachelor,WirtschaftsInformatik
51,2020,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
76,2020,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
79,2020,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
80,2020,No,Vis,4,1,Bachelor,WirtschaftsInformatik
70,2020,No,Vis,3.3,1,Bachelor,WirtschaftsInformatik
66,2020,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
81,2020,No,Vis,2.3,1,Master,WirtschaftsInformatik
40,2020,No,Vis,5,1,Master,(Wirtschafts-)Mathematik
71,2020,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
67,2020,No,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
84,2020,No,Vis,5,1,Bachelor,(Wirtschafts-)Mathematik
70,2020,No,Vis,5,1,Bachelor,WirtschaftsInformatik
67,2020,No,Vis,3.3,1,Bachelor,(Wirtschafts-)Mathematik
72,2020,No,Vis,3,1,Bachelor,WirtschaftsInformatik
57,2020,No,Vis,4,1,Bachelor,WirtschaftsInformatik
15,2020,No,Vis,1,1,Master,WirtschaftsInformatik
68,2020,No,Vis,2.7,1,Bachelor,WirtschaftsInformatik
54,2020,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
79,2020,No,Vis,3.3,1,Master,WirtschaftsInformatik
56,2020,No,Vis,2.3,1,Bachelor,WirtschaftsInformatik
15,2020,No,Vis,2,1,Bachelor,WirtschaftsInformatik
50,2020,No,Vis,4,1,Bachelor,WirtschaftsInformatik
80,2020,No,Vis,2.3,1,Master,WirtschaftsInformatik
69,2020,No,Vis,4,1,Master,WirtschaftsInformatik
82,2020,No,Vis,3,1,Bachelor,(Wirtschafts-)Mathematik
56,2020,No,Vis,1.3,1,Bachelor,WirtschaftsInformatik
60,2020,No,Vis,5,1,Master,WirtschaftsInformatik
47,2020,No,Vis,5,2,Bachelor,WirtschaftsInformatik
54,2020,No,Vis,2.7,1,Master,WirtschaftsInformatik
69,2020,No,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
15,2020,No,Vis,5,1,Bachelor,WirtschaftsInformatik
78,2020,No,Vis,1.7,1,Bachelor,WirtschaftsInformatik
90,2020,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
43,2020,No,Vis,3.7,1,Master,WirtschaftsInformatik
66,2020,No,Vis,4,1,Bachelor,(Wirtschafts-)Mathematik
82,2020,No,Vis,2,1,Bachelor,WirtschaftsInformatik
15,2020,No,Vis,2,1,Bachelor,(Wirtschafts-)Mathematik
70,2020,Yes,Vis,5,3,Master,WirtschaftsInformatik
65,2020,Yes,Vis,2.7,1,Bachelor,WirtschaftsInformatik
37,2020,Yes,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
67,2020,Yes,Vis,1,1,Master,WirtschaftsInformatik
40,2020,Yes,Vis,1.3,2,Bachelor,WirtschaftsInformatik
81,2020,Yes,Vis,4,1,Master,WirtschaftsInformatik
38,2020,Yes,Vis,1.7,1,Bachelor,WirtschaftsInformatik
90,2020,Yes,Vis,1.7,1,Bachelor,WirtschaftsInformatik
85,2020,Yes,Vis,2,2,Bachelor,WirtschaftsInformatik
80,2020,Yes,Vis,3,1,Bachelor,(Wirtschafts-)Mathematik
78,2020,Yes,Vis,1.7,2,Bachelor,(Wirtschafts-)Mathematik
77,2020,Yes,Vis,5,1,Master,WirtschaftsInformatik
70,2020,Yes,Vis,2.3,2,Bachelor,WirtschaftsInformatik
64,2020,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
47,2020,Yes,Vis,5,2,Bachelor,WirtschaftsInformatik
77,2020,Yes,Vis,1.7,1,Bachelor,WirtschaftsInformatik
21,2020,Yes,Vis,2.7,1,Bachelor,(Wirtschafts-)Mathematik
81,2020,Yes,Vis,2,1,Bachelor,WirtschaftsInformatik
81,2020,Yes,Vis,2.7,1,Master,(Wirtschafts-)Mathematik
67,2020,Yes,Vis,1.7,3,Master,WirtschaftsInformatik
88,2020,Yes,Vis,1.3,2,Bachelor,WirtschaftsInformatik
90,2020,Yes,Vis,1,1,Bachelor,WirtschaftsInformatik
84,2020,Yes,Vis,4,1,Bachelor,WirtschaftsInformatik
15,2020,Yes,Vis,4,1,Bachelor,WirtschaftsInformatik
73,2020,Yes,Vis,3.7,2,Bachelor,WirtschaftsInformatik
54,2020,Yes,Vis,4,3,Bachelor,WirtschaftsInformatik
15,2020,Yes,Vis,1.7,3,Bachelor,(Wirtschafts-)Mathematik
45,2020,Yes,Vis,3,1,Master,(Wirtschafts-)Mathematik
75,2020,Yes,Vis,1.7,1,Bachelor,WirtschaftsInformatik
52,2020,Yes,Vis,2,2,Bachelor,WirtschaftsInformatik
50,2020,Yes,Vis,3.3,1,Master,(Wirtschafts-)Mathematik
66,2020,Yes,Vis,1,2,Bachelor,WirtschaftsInformatik
51,2020,Yes,Vis,5,1,Bachelor,WirtschaftsInformatik
